time_s,vin,vout
7.295999999999989776e-05,1.000000000000000000e+00,3.096512318120193258e-02
7.395999999999989497e-05,1.000000000000000000e+00,4.060726125900092354e-02
7.495999999999989217e-05,1.000000000000000000e+00,5.015345766438401159e-02
7.595999999999988937e-05,1.000000000000000000e+00,5.960466704085781026e-02
7.695999999999988657e-05,1.000000000000000000e+00,6.896183453298859733e-02
7.795999999999988377e-05,1.000000000000000000e+00,7.822589588091904966e-02
7.895999999999988098e-05,1.000000000000000000e+00,8.739777751394472993e-02
7.995999999999987818e-05,1.000000000000000000e+00,9.647839664315924213e-02
8.095999999999987538e-05,1.000000000000000000e+00,1.054686613531775619e-01
8.195999999999987258e-05,1.000000000000000000e+00,1.143694706929469507e-01
8.295999999999986978e-05,1.000000000000000000e+00,1.231817147656539685e-01
8.395999999999986699e-05,1.000000000000000000e+00,1.319062748177370348e-01
8.495999999999986419e-05,1.000000000000000000e+00,1.405440233270133232e-01
8.595999999999986139e-05,1.000000000000000000e+00,1.490958240899286635e-01
8.695999999999985859e-05,1.000000000000000000e+00,1.575625323079393181e-01
8.795999999999985579e-05,1.000000000000000000e+00,1.659449946730344738e-01
8.895999999999985300e-05,1.000000000000000000e+00,1.742440494524073180e-01
8.995999999999985020e-05,1.000000000000000000e+00,1.824605265722838987e-01
9.095999999999984740e-05,1.000000000000000000e+00,1.905952477009179025e-01
9.195999999999984460e-05,1.000000000000000000e+00,1.986490263307595372e-01
9.295999999999984180e-05,1.000000000000000000e+00,2.066226678598067357e-01
9.395999999999983900e-05,1.000000000000000000e+00,2.145169696721470620e-01
9.495999999999983621e-05,1.000000000000000000e+00,2.223327212176978707e-01
9.595999999999983341e-05,1.000000000000000000e+00,2.300707040911536272e-01
9.695999999999983061e-05,1.000000000000000000e+00,2.377316921101472191e-01
9.795999999999982781e-05,1.000000000000000000e+00,2.453164513926334167e-01
9.895999999999982501e-05,1.000000000000000000e+00,2.528257404335028102e-01
9.995999999999982222e-05,1.000000000000000000e+00,2.602603101804332186e-01
1.009599999999998194e-04,1.000000000000000000e+00,2.676209041089862017e-01
1.019599999999998166e-04,1.000000000000000000e+00,2.749082582969565314e-01
1.029599999999998138e-04,1.000000000000000000e+00,2.821231014979819207e-01
1.039599999999998110e-04,1.000000000000000000e+00,2.892661552144200066e-01
1.049599999999998082e-04,1.000000000000000000e+00,2.963381337695005224e-01
1.059599999999998054e-04,1.000000000000000000e+00,3.033397443787593240e-01
1.069599999999998026e-04,1.000000000000000000e+00,3.102716872207617049e-01
1.079599999999997998e-04,1.000000000000000000e+00,3.171346555071222761e-01
1.089599999999997970e-04,1.000000000000000000e+00,3.239293355518276241e-01
1.099599999999997942e-04,1.000000000000000000e+00,3.306564068398692435e-01
1.109599999999997914e-04,1.000000000000000000e+00,3.373165420951939608e-01
1.119599999999997886e-04,1.000000000000000000e+00,3.439104073479780643e-01
1.129599999999997858e-04,1.000000000000000000e+00,3.504386620012320264e-01
1.139599999999997830e-04,1.000000000000000000e+00,3.569019588967421996e-01
1.149599999999997802e-04,1.000000000000000000e+00,3.633009443803567051e-01
1.159599999999997774e-04,1.000000000000000000e+00,3.696362583666218948e-01
1.169599999999997746e-04,1.000000000000000000e+00,3.759085344027749964e-01
1.179599999999997719e-04,1.000000000000000000e+00,3.821183997321007109e-01
1.189599999999997691e-04,1.000000000000000000e+00,3.882664753566569260e-01
1.199599999999997663e-04,1.000000000000000000e+00,3.943533760993767068e-01
1.209599999999997635e-04,1.000000000000000000e+00,4.003797106655520022e-01
1.219599999999997607e-04,1.000000000000000000e+00,4.063460817037057859e-01
1.229599999999997579e-04,1.000000000000000000e+00,4.122530858658581265e-01
1.239599999999997551e-04,1.000000000000000000e+00,4.181013138671929030e-01
1.249599999999997523e-04,1.000000000000000000e+00,4.238913505451313291e-01
1.259599999999997495e-04,1.000000000000000000e+00,4.296237749178166143e-01
1.269599999999997467e-04,1.000000000000000000e+00,4.352991602420174799e-01
1.279599999999997439e-04,1.000000000000000000e+00,4.409180740704550239e-01
1.289599999999997411e-04,1.000000000000000000e+00,4.464810783085598755e-01
1.299599999999997383e-04,1.000000000000000000e+00,4.519887292706636917e-01
1.309599999999997355e-04,1.000000000000000000e+00,4.574415777356322654e-01
1.319599999999997327e-04,1.000000000000000000e+00,4.628401690019444681e-01
1.329599999999997299e-04,1.000000000000000000e+00,4.681850429422237392e-01
1.339599999999997271e-04,1.000000000000000000e+00,4.734767340572265115e-01
1.349599999999997243e-04,1.000000000000000000e+00,4.787157715292938986e-01
1.359599999999997215e-04,1.000000000000000000e+00,4.839026792752711414e-01
1.369599999999997187e-04,1.000000000000000000e+00,4.890379759989003094e-01
1.379599999999997159e-04,1.000000000000000000e+00,4.941221752426924740e-01
1.389599999999997131e-04,1.000000000000000000e+00,4.991557854392826843e-01
1.399599999999997103e-04,1.000000000000000000e+00,5.041393099622749618e-01
1.409599999999997075e-04,1.000000000000000000e+00,5.090732471765806455e-01
1.419599999999997047e-04,1.000000000000000000e+00,5.139580904882563583e-01
1.429599999999997019e-04,1.000000000000000000e+00,5.187943283938458716e-01
1.439599999999996991e-04,1.000000000000000000e+00,5.235824445292305285e-01
1.449599999999996963e-04,1.000000000000000000e+00,5.283229177179944447e-01
1.459599999999996935e-04,1.000000000000000000e+00,5.330162220193080946e-01
1.469599999999996907e-04,1.000000000000000000e+00,5.376628267753350565e-01
1.479599999999996879e-04,1.000000000000000000e+00,5.422631966581676899e-01
1.489599999999996851e-04,1.000000000000000000e+00,5.468177917162954094e-01
1.499599999999996823e-04,1.000000000000000000e+00,5.513270674206108835e-01
1.509599999999996795e-04,1.000000000000000000e+00,5.557914747099580444e-01
1.519599999999996767e-04,1.000000000000000000e+00,5.602114600362271268e-01
1.529599999999996739e-04,1.000000000000000000e+00,5.645874654090009548e-01
1.539599999999996711e-04,1.000000000000000000e+00,5.689199284397571388e-01
1.549599999999996683e-04,1.000000000000000000e+00,5.732092823856301811e-01
1.559599999999996655e-04,1.000000000000000000e+00,5.774559561927384843e-01
1.569599999999996627e-04,1.000000000000000000e+00,5.816603745390795943e-01
1.579599999999996599e-04,1.000000000000000000e+00,5.858229578769993395e-01
1.589599999999996571e-04,1.000000000000000000e+00,5.899441224752381974e-01
