v_oc_v,i_sc_a,r_th_ohm,v_load_original_v,i_load_original_a,v_load_thevenin_v,i_load_thevenin_a
6.600000000000001421e+00
4.444444444441451175e-03
1.485000000001000444e+03
2.655935613682092633e+00
2.655935613682092449e-03
2.655935613682092633e+00
2.655935613682092449e-03
