freq_hz,gain_db,phase_deg
3.475230431402299587e+02,-2.022823029743946455e-01,-1.231749635841447521e+01
3.608918289407968700e+02,-2.177534198545564847e-01,-1.277605756977613005e+01
3.747748955561451112e+02,-2.343762061565233812e-01,-1.325050313357277076e+01
3.891920267392943629e+02,-2.522314901722178537e-01,-1.374124857738375738e+01
4.041637673000106474e+02,-2.714050238326869424e-01,-1.424870487406155917e+01
4.197114523817269855e+02,-2.919876687949096161e-01,-1.477327634657159550e+01
4.358572378647115215e+02,-3.140755714202481674e-01,-1.531535835820858615e+01
4.526241319388084889e+02,-3.377703230635162313e-01,-1.587533477946184846e+01
4.700360278907433553e+02,-3.631791016616005008e-01,-1.645357522455022803e+01
4.881177381527159582e+02,-3.904147901728167169e-01,-1.705043205290230190e+01
5.068950296608008443e+02,-4.195960669823682876e-01,-1.766623713367836146e+01
5.263946605735424100e+02,-4.508474629682225343e-01,-1.830129837487368150e+01
5.466444184030690394e+02,-4.842993795303951465e-01,-1.895589602265619433e+01
5.676731596130648541e+02,-5.200880615434131382e-01,-1.963027874141361551e+01
5.895108507400263989e+02,-5.583555189176011568e-01,-2.032465949053656118e+01
6.121886110964045429e+02,-5.992493902739203238e-01,-2.103921122024434354e+01
6.357387571164828159e+02,-6.429227421757460759e-01,-2.177406241574039925e+01
6.601948484081885908e+02,-6.895337974476376530e-01,-2.252929252660098314e+01
6.855917355764602235e+02,-7.392455863755180712e-01,-2.330492732644983178e+01
7.119656098863205216e+02,-7.922255150539272428e-01,-2.410093425650062571e+01
7.393540548364285314e+02,-8.486448458523949689e-01,-2.491721781525617985e+01
7.677960997166018160e+02,-9.086780859384435693e-01,-2.575361506527795541e+01
7.973322752256316335e+02,-9.725022810387512484e-01,-2.660989133617012925e+01
8.280046712286469983e+02,-1.040296213152636096e+00,-2.748573621039076897e+01
8.598569967363341675e+02,-1.112239502754146958e+00,-2.838075988479814526e+01
8.929346421914826806e+02,-1.188511618117369606e+00,-2.929449000551791116e+01
9.272847441516190656e+02,-1.269290796746110228e+00,-3.022636907631628489e+01
9.629562524599019753e+02,-1.354752886438441939e+00,-3.117575254073242164e+01
9.999999999999993179e+02,-1.445070116205284805e+00,-3.214190763534203654e+01
1.038468775134350381e+03,-1.540409810008738001e+00,-3.312401310534231413e+01
1.078417396929038659e+03,-1.640933058991757676e+00,-3.412115986391462741e+01
1.119902793272474128e+03,-1.746793370424192027e+00,-3.513235266342002916e+01
1.162984081999204591e+03,-1.858135313868821914e+00,-3.615651282946039657e+01
1.207722655134461775e+03,-1.975093186950123147e+00,-3.719248208843238501e+01
1.254182266379490784e+03,-2.097789724465781713e+00,-3.823902749584970451e+01
1.302429121962334193e+03,-2.226334875306727579e+00,-3.929484744705569454e+01
1.352531974983533473e+03,-2.360824671655320728e+00,-4.035857872482318953e+01
1.404562223391194721e+03,-2.501340214151759778e+00,-4.142880451073520476e+01
1.458594011725034761e+03,-2.647946795128404140e+00,-4.250406326026308790e+01
1.514704336774396097e+03,-2.800693179623656270e+00,-4.358285831626773899e+01
1.572973157300796856e+03,-2.959611060756518697e+00,-4.466366811338929210e+01
1.633483507981371531e+03,-3.124714702266584432e+00,-4.574495680751725502e+01
1.696321617735578002e+03,-3.296000776736642379e+00,-4.682518515114097113e+01
1.761577032603786620e+03,-3.473448403381746097e+00,-4.790282142754289652e+01
1.829342743352859088e+03,-3.657019384495866277e+00,-4.897635225491092825e+01
1.899715317990557196e+03,-3.846658634892071937e+00,-5.004429307560975815e+01
1.972795039377618195e+03,-4.042294794148383552e+00,-5.110519815585062275e+01
2.048686048133598888e+03,-4.243841007359218764e+00,-5.215766993632779958e+01
2.127496491040132696e+03,-4.451195856546098284e+00,-5.320036759428612072e+01
2.209338675153076565e+03,-4.664244422022202130e+00,-5.423201470098171484e+01
2.294329227843165427e+03,-4.882859450914700084e+00,-5.525140588450189938e+01
2.382589262993233660e+03,-5.106902608765412133e+00,-5.625741243525771296e+01
2.474244553588839608e+03,-5.336225789652207396e+00,-5.724898681901117214e+01
2.569425710948241431e+03,-5.570672460559084271e+00,-5.822516608897603874e+01
2.668268370847129518e+03,-5.810079016699317478e+00,-5.918507421340336805e+01
2.770913386803349113e+03,-6.054276126064145558e+00,-6.012792335736548921e+01
2.877507030797050447e+03,-6.303090043514366414e+00,-6.105301417661939922e+01
2.988201201712296552e+03,-6.556343877129319431e+00,-6.195973519710202027e+01
3.103153641797164710e+03,-6.813858792152680977e+00,-6.284756136562044304e+01
3.222528161450802600e+03,-7.075455140608323035e+00,-6.371605186567030898e+01
3.346494872657767246e+03,-7.340953507394797128e+00,-6.456484729721431393e+01
3.475230431402297654e+03,-7.610175666311630671e+00,-6.539366632097319609e+01
3.608918289407966768e+03,-7.882945441949916088e+00,-6.620230186670589489e+01
3.747748955561448838e+03,-8.159089475636584154e+00,-6.699061700151555954e+01
3.891920267392941241e+03,-8.438437895618310591e+00,-6.775854054887638256e+01
4.041637673000103860e+03,-8.720824893384289567e+00,-6.850606254228512171e+01
4.197114523817266672e+03,-9.006089209450264477e+00,-6.923322958964030249e+01
4.358572378647112600e+03,-9.294074533062847365e+00,-6.994014021603092601e+01
4.526241319388082047e+03,-9.584629821148462625e+00,-7.062694024392722270e+01
