time_s,vin,vgate,vout
1.328000000000000160e-05,8.334391067806133776e-04,2.000833208431233690e+00,3.291818803442982500e+00
1.428000000000000219e-05,8.960354946823394662e-04,2.000895768798776064e+00,3.291611879257406059e+00
1.528000000000000278e-05,9.585965086369941041e-04,2.000958291186480498e+00,3.291405069376942549e+00
1.628000000000000337e-05,1.021119678842867789e-03,2.001020773126179542e+00,3.291198381987300969e+00
1.728000000000000396e-05,1.083602536992257868e-03,2.001083212151302249e+00,3.290991825270671356e+00
1.828000000000000455e-05,1.146042616368912401e-03,2.001145605796970983e+00,3.290785407405421026e+00
1.928000000000000514e-05,1.208437451945411573e-03,2.001207951600100898e+00,3.290579136565735752e+00
2.028000000000000573e-05,1.270784580480484706e-03,2.001270247099495858e+00,3.290373020921315117e+00
2.128000000000000632e-05,1.333081540616251918e-03,2.001332489835945694e+00,3.290167068637035008e+00
2.228000000000000691e-05,1.395325872975396826e-03,2.001394677352321683e+00,3.289961287872633200e+00
2.328000000000000750e-05,1.457515120258257284e-03,2.001456807193676468e+00,3.289755686782372734e+00
2.428000000000000809e-05,1.519646827339835244e-03,2.001518876907339095e+00,3.289550273514714185e+00
2.528000000000000868e-05,1.581718541366722254e-03,2.001580884043012265e+00,3.289345056211991469e+00
2.628000000000000927e-05,1.643727811853932380e-03,2.001642826152870036e+00,3.289140043010089443e+00
2.728000000000000986e-05,1.705672190781642745e-03,2.001704700791652858e+00,3.288935242038104612e+00
2.828000000000001045e-05,1.767549232691839958e-03,2.001766505516765271e+00,3.288730661418033385e+00
2.928000000000001104e-05,1.829356494784859866e-03,2.001828237888369610e+00,3.288526309264447001e+00
3.028000000000001163e-05,1.891091537015825164e-03,2.001889895469487701e+00,3.288322193684141581e+00
3.128000000000001222e-05,1.952751922190976109e-03,2.001951475826094118e+00,3.288118322775827274e+00
3.228000000000000942e-05,2.014335216063886744e-03,2.002012976527209442e+00,3.287914704629819163e+00
3.328000000000000663e-05,2.075838987431560551e-03,2.002074395144999297e+00,3.287711347327681999e+00
